embedding_weight,importance_weight,MRR,Mean_Rank,Mean_Normalized_Rank,Hit@1,Hit@3,Hit@5,Hit@10,Hit@20
0.0,1.0,0.06720730737972118,18.818181818181817,0.553475935828877,0.0,0.0,0.0,0.21212121212121213,0.6060606060606061
0.05,0.95,0.06333956292374142,19.484848484848484,0.5730837789661319,0.0,0.0,0.0,0.21212121212121213,0.5151515151515151
0.1,0.9,0.06090158092317299,20.151515151515152,0.5926916221033869,0.0,0.0,0.0,0.09090909090909091,0.5151515151515151
0.15000000000000002,0.85,0.059336965549414145,20.363636363636363,0.5989304812834224,0.0,0.0,0.030303030303030304,0.09090909090909091,0.48484848484848486
0.2,0.8,0.057671102976290585,20.303030303030305,0.5971479500891266,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454
0.25,0.75,0.05893857822734294,20.060606060606062,0.590017825311943,0.0,0.0,0.0,0.12121212121212122,0.5454545454545454
0.30000000000000004,0.7,0.05904560839830434,19.696969696969695,0.5793226381461675,0.0,0.0,0.0,0.12121212121212122,0.5757575757575758
0.35000000000000003,0.6499999999999999,0.05813800168599901,19.696969696969695,0.5793226381461675,0.0,0.0,0.0,0.09090909090909091,0.5757575757575758
0.4,0.6,0.05939359733224025,19.272727272727273,0.5668449197860963,0.0,0.0,0.0,0.09090909090909091,0.6060606060606061
0.45,0.55,0.05956357638391551,18.939393939393938,0.5570409982174688,0.0,0.0,0.0,0.09090909090909091,0.6363636363636364
0.5,0.5,0.059069910686265464,18.87878787878788,0.5552584670231729,0.0,0.0,0.0,0.06060606060606061,0.6060606060606061
0.55,0.44999999999999996,0.05701303260067925,19.151515151515152,0.5632798573975045,0.0,0.0,0.0,0.06060606060606061,0.5757575757575758
0.6000000000000001,0.3999999999999999,0.05589569418608564,19.363636363636363,0.56951871657754,0.0,0.0,0.0,0.06060606060606061,0.5454545454545454
0.65,0.35,0.05668497286085481,19.09090909090909,0.5614973262032086,0.0,0.0,0.0,0.06060606060606061,0.5454545454545454
0.7000000000000001,0.29999999999999993,0.05641016297971841,19.303030303030305,0.5677361853832442,0.0,0.0,0.0,0.09090909090909091,0.5151515151515151
0.75,0.25,0.0555709046052683,19.484848484848484,0.5730837789661319,0.0,0.0,0.0,0.06060606060606061,0.5454545454545454
0.8,0.19999999999999996,0.055281417839809,19.666666666666668,0.5784313725490197,0.0,0.0,0.0,0.06060606060606061,0.5151515151515151
0.8500000000000001,0.1499999999999999,0.054558519444276324,19.78787878787879,0.5819964349376114,0.0,0.0,0.0,0.030303030303030304,0.5454545454545454
0.9,0.09999999999999998,0.05439642012503766,19.90909090909091,0.5855614973262032,0.0,0.0,0.0,0.030303030303030304,0.5151515151515151
0.9500000000000001,0.04999999999999993,0.053591012801185015,20.151515151515152,0.5926916221033869,0.0,0.0,0.0,0.030303030303030304,0.5151515151515151
1.0,0.0,0.053726298762288724,20.09090909090909,0.5909090909090908,0.0,0.0,0.0,0.030303030303030304,0.48484848484848486
